655450,2013424,967194,2000000
1999258,1017714,3332075,572515
2159800,3490958,2145977,3551728
3990472,1891598,3022851,2629972
188608,354698,-1037755,-391680
286630,3999086,-1202308,3569538
2022540,3401295,2013531,3335868
65063,2648597,967194,2000000
2533266,439414,3332075,572515
1728594,2416005,967194,2000000
1156357,1867331,967194,2000000
825519,3323952,2013531,3335868
3278267,201451,3332075,572515
3679732,1213595,3332075,572515
896808,1637672,967194,2000000
2035362,3363480,2013531,3335868
2056169,3442413,2013531,3335868
2631999,1884495,3022851,2629972
3149604,3870003,3707835,4152776
3579002,1702,3332075,572515
2306088,2605428,3022851,2629972
2428132,3171598,2013531,3335868
1447212,3938104,2145977,3551728
3131240,3166665,3022851,2629972
3865496,2980765,3022851,2629972
2508598,3611761,2145977,3551728
2144092,3514660,2145977,3551728
3947251,469499,3332075,572515
